system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EVI,GCVI,Label,MNDWI,NDBI,NDVI,NDWI,.geo
65_0,311.5,90.0,68.0,431.0,526.0,291.5,224.0,147.0,151.5,141.0,123.5,96.0,0.28046962355572125,-0.7319391634980988,Water,0.7077922,-0.22077923,-0.3479769,0.5772114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.341800644098083,49.89175714353513]}"
66_0,160.0,130.0,100.0,152.0,210.0,134.0,121.0,110.0,147.0,130.0,137.0,408.0,0.04878048780487805,-0.38095238095238093,Water,0.23529412,0.0,-0.015151516,0.23529412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.926145587854129,49.88600792571677]}"
67_0,154.0,306.0,146.0,129.0,119.0,74.0,142.0,369.0,435.0,439.0,490.0,1930.0,-10.92814371257485,2.689075630252101,Water,-0.44,-0.1785235,0.711501,-0.57347673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.938816407642065,50.4973114765601]}"
68_0,185.0,73.0,50.0,208.0,225.0,94.0,93.0,83.0,119.0,95.0,79.0,51.0,-0.002777777777777778,-0.5777777777777777,Water,0.5100671,-0.13095239,0.005291005,0.40625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.380428201315222,49.57438235365571]}"
69_0,283.0,103.0,67.0,340.0,452.0,224.0,184.0,123.0,153.0,133.0,129.0,140.0,0.21222014925373134,-0.7057522123893805,Water,0.6288288,-0.12711865,-0.25490198,0.5452992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.386446913718823,49.208857864547475]}"
70_0,273.0,498.0,224.0,186.0,206.0,147.0,220.0,582.0,712.0,320.0,705.0,2142.0,-2.2526041666666665,0.5533980582524272,Water,-0.41477272,0.2176039,0.3704497,-0.21673004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.671832530919892,50.26473764950156]}"
71_0,318.0,190.0,151.0,360.0,504.0,335.0,349.0,245.0,291.0,240.0,235.0,652.0,0.5289532293986636,-0.5238095238095238,Water,0.45244956,-0.11627907,-0.16521738,0.3548387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.320236502997362,50.498209791844225]}"
72_0,251.0,131.5,95.0,182.0,233.0,137.0,133.0,82.0,101.0,119.0,82.5,870.0,0.10638297872340426,-0.4892703862660944,Water,0.27846366,0.0499002,-0.0703125,0.32386363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.439528198446584,49.65289510948775]}"
73_0,249.0,746.0,372.0,182.0,257.0,205.0,811.0,1602.0,1725.0,944.0,1787.0,1492.0,2.280864197530864,2.6731517509727625,Water,-0.48753738,-0.11715976,0.643168,-0.57202333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.39596905573049,49.21299011485442]}"
74_0,277.5,473.5,360.5,303.0,415.5,312.0,502.5,319.0,349.5,224.0,368.5,495.5,1.2535612535612537,-0.46089049338146815,Water,-0.06524184,0.3577061,-0.1641791,0.2994527,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.591258224216222,50.317019599037316]}"
75_0,411.5,168.5,118.0,482.5,759.5,343.5,268.5,204.0,246.0,246.0,203.0,1068.0,0.1859622353614343,-0.6761026991441739,Water,0.63685346,-0.18697226,-0.1653944,0.5106912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.757087225664686,49.94296111472995]}"
76_0,284.0,109.0,78.0,376.0,477.0,324.0,268.0,157.0,162.0,146.0,134.0,114.0,0.6104252400548696,-0.6939203354297694,Water,0.6279864,-0.14509805,-0.3787234,0.5313002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.5910785611593985,50.31252802261672]}"
77_0,302.0,189.0,145.0,350.0,377.0,155.0,140.0,161.0,141.0,173.0,150.0,880.0,-0.029585798816568046,-0.5411140583554377,Water,0.33215547,0.044198897,0.05487805,0.3709091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.446993363868478,49.40397194425823]}"
78_0,479.0,386.0,319.0,486.0,626.0,430.0,583.0,534.0,503.0,265.0,484.0,570.0,0.516270337922403,-0.5766773162939297,Water,0.23715416,0.18586789,-0.23741007,0.40516275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.382673989525522,49.848548178368986]}"
79_0,248.0,317.0,172.0,224.0,296.0,256.0,237.0,416.0,505.0,393.0,435.0,1251.0,1.37,0.32770270270270263,Water,-0.034257747,-0.10704225,0.21109399,-0.14078374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.398484338526025,49.21379859861013]}"
80_0,184.0,102.5,71.5,211.5,318.0,153.0,182.5,90.0,128.5,111.0,109.5,289.0,0.1887640449438202,-0.6509433962264151,Water,0.51248515,-0.039812647,-0.1590909,0.48251748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.75411821094524,50.10007645792245]}"
81_0,135.0,134.0,90.5,167.5,235.5,150.0,132.0,121.0,167.5,158.0,170.0,440.5,-0.10139416983523447,-0.3290870488322718,Water,0.27469555,-0.08219178,0.025974026,0.19695045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9025198958817855,49.82887507364677]}"
82_0,248.0,93.0,70.0,332.0,458.0,313.0,240.0,123.0,133.0,121.0,127.0,102.0,0.9795918367346939,-0.7358078602620087,Water,0.66243196,-0.13084112,-0.4423963,0.582038,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.556852748834444,50.41664276404617]}"
83_0,192.0,124.5,85.5,169.0,152.5,64.0,54.5,77.0,123.0,117.5,140.0,786.0,-0.17483660130718953,-0.2295081967213115,Water,0.10108303,0.02892562,0.29476583,0.12962963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.928211713007603,50.13313446037805]}"
84_0,265.5,129.5,96.0,228.5,303.0,187.0,198.5,179.5,199.0,163.0,187.5,598.0,0.1402688486265342,-0.4620462046204621,Water,0.40115607,-0.114529915,-0.068571426,0.3004292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.468822425272583,49.361212136734146]}"
85_0,155.5,607.0,259.0,123.0,186.5,116.5,273.5,767.5,971.5,464.0,1024.5,1599.0,3.5973084886128364,1.487935656836461,Water,-0.5299307,0.13352008,0.5986219,-0.4265949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.184855815398699,49.95472904495191]}"
86_0,274.0,440.0,267.0,227.0,286.0,193.0,257.0,467.0,600.0,240.0,700.0,1596.0,-0.3871499176276771,-0.16083916083916083,Water,-0.21212122,0.29411766,0.108545035,0.08745247,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.503762315542981,50.30812627772453]}"
87_0,315.0,124.0,99.0,386.0,510.0,319.0,260.0,167.0,165.0,164.0,143.0,119.0,0.47487745098039214,-0.6784313725490196,Water,0.60883284,-0.1388889,-0.32091096,0.5133531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.772358585494718,50.07528295608075]}"
88_0,275.0,89.0,61.0,346.0,452.0,208.0,155.0,120.0,137.0,124.0,133.0,95.0,0.1718494271685761,-0.7256637168141593,Water,0.6709797,-0.16431925,-0.25301206,0.5694444,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.387614723588179,49.207420560092885]}"
89_0,151.0,144.0,97.0,111.0,152.0,104.0,123.0,146.0,214.0,188.0,189.0,684.0,-10.769230769230768,0.23684210526315796,Water,0.027027028,-0.13253012,0.28767124,-0.105882354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.430374531112268,49.27470437487344]}"
90_0,218.0,113.0,81.0,164.0,235.0,132.0,125.0,102.0,140.0,118.0,128.0,1257.0,0.109717868338558,-0.49787234042553197,Water,0.3505747,-0.021645023,-0.056,0.33144477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.70300407127884,49.801566289009536]}"
91_0,228.0,538.0,239.0,195.0,274.0,177.0,278.0,550.0,715.0,327.0,831.0,2174.0,-5.172413793103448,0.1934306569343065,Water,-0.32512316,0.24393064,0.29761904,-0.08818635,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.517861291221806,49.765274351531104]}"
